k,p,rondas,consenso
58,8,5,True
58,8,5,True
58,8,5,True
58,8,5,True
58,8,5,True
58,8,5,True
58,8,5,True
58,8,5,True
58,8,5,True
58,8,5,True
58,8,5,True
58,8,5,True
58,8,5,True
58,8,5,True
58,8,5,True
58,8,5,True
58,8,5,True
58,8,5,True
58,8,5,True
58,8,5,True
58,8,5,True
58,8,5,True
58,8,5,True
58,8,5,True
58,8,5,True
58,8,5,True
58,8,5,True
58,8,5,True
58,8,5,True
58,8,5,True
58,8,5,True
58,8,5,True
58,8,5,True
58,8,5,True
58,8,5,True
58,8,5,True
58,8,5,True
58,8,5,True
58,8,5,True
58,8,5,True
58,8,5,True
58,8,5,True
58,8,5,True
58,8,5,True
58,8,5,True
58,8,5,True
58,8,5,True
58,8,5,True
58,8,5,True
58,8,5,True
58,8,5,True
58,8,5,True
58,8,5,True
58,8,5,True
58,8,5,True
58,8,5,True
58,8,5,True
58,8,5,True
58,8,5,True
58,8,5,True
58,8,5,True
58,8,5,True
58,8,5,True
58,8,5,True
58,8,5,True
58,8,5,True
58,8,5,True
58,8,5,True
58,8,5,True
58,8,5,True
58,8,5,True
58,8,5,True
58,8,5,True
58,8,5,True
58,8,5,True
58,8,5,True
58,8,5,True
58,8,5,True
58,8,5,True
58,8,5,True
58,8,5,True
58,8,5,True
58,8,5,True
58,8,5,True
58,8,5,True
58,8,5,True
58,8,5,True
58,8,5,True
58,8,5,True
58,8,5,True
58,8,5,True
58,8,5,True
58,8,5,True
58,8,5,True
58,8,5,True
58,8,5,True
58,8,5,True
58,8,5,True
58,8,5,True
58,8,5,True
58,9,4,True
58,9,4,True
58,9,4,True
58,9,4,True
58,9,4,True
58,9,4,True
58,9,4,True
58,9,4,True
58,9,4,True
58,9,4,True
58,9,4,True
58,9,4,True
58,9,4,True
58,9,4,True
58,9,4,True
58,9,4,True
58,9,4,True
58,9,4,True
58,9,4,True
58,9,4,True
58,9,4,True
58,9,4,True
58,9,4,True
58,9,4,True
58,9,4,True
58,9,4,True
58,9,4,True
58,9,4,True
58,9,4,True
58,9,4,True
58,9,4,True
58,9,4,True
58,9,4,True
58,9,4,True
58,9,4,True
58,9,4,True
58,9,4,True
58,9,4,True
58,9,4,True
58,9,4,True
58,9,4,True
58,9,4,True
58,9,4,True
58,9,4,True
58,9,4,True
58,9,4,True
58,9,4,True
58,9,4,True
58,9,4,True
58,9,4,True
58,9,4,True
58,9,4,True
58,9,4,True
58,9,4,True
58,9,4,True
58,9,4,True
58,9,4,True
58,9,4,True
58,9,4,True
58,9,4,True
58,9,4,True
58,9,4,True
58,9,4,True
58,9,4,True
58,9,4,True
58,9,4,True
58,9,4,True
58,9,4,True
58,9,4,True
58,9,4,True
58,9,4,True
58,9,4,True
58,9,4,True
58,9,4,True
58,9,4,True
58,9,4,True
58,9,4,True
58,9,4,True
58,9,4,True
58,9,4,True
58,9,4,True
58,9,4,True
58,9,4,True
58,9,4,True
58,9,4,True
58,9,4,True
58,9,4,True
58,9,4,True
58,9,4,True
58,9,4,True
58,9,4,True
58,9,4,True
58,9,4,True
58,9,4,True
58,9,4,True
58,9,4,True
58,9,4,True
58,9,4,True
58,9,4,True
58,9,4,True
58,10,4,True
58,10,4,True
58,10,4,True
58,10,4,True
58,10,4,True
58,10,4,True
58,10,4,True
58,10,4,True
58,10,4,True
58,10,4,True
58,10,4,True
58,10,4,True
58,10,4,True
58,10,4,True
58,10,4,True
58,10,4,True
58,10,4,True
58,10,4,True
58,10,4,True
58,10,4,True
58,10,4,True
58,10,4,True
58,10,4,True
58,10,4,True
58,10,4,True
58,10,4,True
58,10,4,True
58,10,4,True
58,10,4,True
58,10,4,True
58,10,4,True
58,10,4,True
58,10,4,True
58,10,4,True
58,10,4,True
58,10,4,True
58,10,4,True
58,10,4,True
58,10,4,True
58,10,4,True
58,10,4,True
58,10,4,True
58,10,4,True
58,10,4,True
58,10,4,True
58,10,4,True
58,10,4,True
58,10,4,True
58,10,4,True
58,10,4,True
58,10,4,True
58,10,4,True
58,10,4,True
58,10,4,True
58,10,4,True
58,10,4,True
58,10,4,True
58,10,4,True
58,10,4,True
58,10,4,True
58,10,4,True
58,10,4,True
58,10,4,True
58,10,4,True
58,10,4,True
58,10,4,True
58,10,4,True
58,10,4,True
58,10,4,True
58,10,4,True
58,10,4,True
58,10,4,True
58,10,4,True
58,10,4,True
58,10,4,True
58,10,4,True
58,10,4,True
58,10,4,True
58,10,4,True
58,10,4,True
58,10,4,True
58,10,4,True
58,10,4,True
58,10,4,True
58,10,4,True
58,10,4,True
58,10,4,True
58,10,4,True
58,10,4,True
58,10,4,True
58,10,4,True
58,10,4,True
58,10,4,True
58,10,4,True
58,10,4,True
58,10,4,True
58,10,4,True
58,10,4,True
58,10,4,True
58,10,4,True
58,11,4,True
58,11,4,True
58,11,4,True
58,11,4,True
58,11,4,True
58,11,4,True
58,11,4,True
58,11,4,True
58,11,4,True
58,11,4,True
58,11,4,True
58,11,4,True
58,11,4,True
58,11,4,True
58,11,4,True
58,11,4,True
58,11,4,True
58,11,4,True
58,11,4,True
58,11,4,True
58,11,4,True
58,11,4,True
58,11,4,True
58,11,4,True
58,11,4,True
58,11,4,True
58,11,4,True
58,11,4,True
58,11,4,True
58,11,4,True
58,11,4,True
58,11,4,True
58,11,4,True
58,11,4,True
58,11,4,True
58,11,4,True
58,11,4,True
58,11,4,True
58,11,4,True
58,11,4,True
58,11,4,True
58,11,4,True
58,11,4,True
58,11,4,True
58,11,4,True
58,11,4,True
58,11,4,True
58,11,4,True
58,11,4,True
58,11,4,True
58,11,4,True
58,11,4,True
58,11,4,True
58,11,4,True
58,11,4,True
58,11,4,True
58,11,4,True
58,11,4,True
58,11,4,True
58,11,4,True
58,11,4,True
58,11,4,True
58,11,4,True
58,11,4,True
58,11,4,True
58,11,4,True
58,11,4,True
58,11,4,True
58,11,4,True
58,11,4,True
58,11,4,True
58,11,4,True
58,11,4,True
58,11,4,True
58,11,4,True
58,11,4,True
58,11,4,True
58,11,4,True
58,11,4,True
58,11,4,True
58,11,4,True
58,11,4,True
58,11,4,True
58,11,4,True
58,11,4,True
58,11,4,True
58,11,4,True
58,11,4,True
58,11,4,True
58,11,4,True
58,11,4,True
58,11,4,True
58,11,4,True
58,11,4,True
58,11,4,True
58,11,4,True
58,11,4,True
58,11,4,True
58,11,4,True
58,11,4,True
58,12,4,True
58,12,4,True
58,12,4,True
58,12,4,True
58,12,4,True
58,12,4,True
58,12,4,True
58,12,4,True
58,12,4,True
58,12,4,True
58,12,4,True
58,12,4,True
58,12,4,True
58,12,4,True
58,12,4,True
58,12,4,True
58,12,4,True
58,12,4,True
58,12,4,True
58,12,4,True
58,12,4,True
58,12,4,True
58,12,4,True
58,12,4,True
58,12,4,True
58,12,4,True
58,12,4,True
58,12,4,True
58,12,4,True
58,12,4,True
58,12,4,True
58,12,4,True
58,12,4,True
58,12,4,True
58,12,4,True
58,12,4,True
58,12,4,True
58,12,4,True
58,12,4,True
58,12,4,True
58,12,4,True
58,12,4,True
58,12,4,True
58,12,4,True
58,12,4,True
58,12,4,True
58,12,4,True
58,12,4,True
58,12,4,True
58,12,4,True
58,12,4,True
58,12,4,True
58,12,4,True
58,12,4,True
58,12,4,True
58,12,4,True
58,12,4,True
58,12,4,True
58,12,4,True
58,12,4,True
58,12,4,True
58,12,4,True
58,12,4,True
58,12,4,True
58,12,4,True
58,12,4,True
58,12,4,True
58,12,4,True
58,12,4,True
58,12,4,True
58,12,4,True
58,12,4,True
58,12,4,True
58,12,4,True
58,12,4,True
58,12,4,True
58,12,4,True
58,12,4,True
58,12,4,True
58,12,4,True
58,12,4,True
58,12,4,True
58,12,4,True
58,12,4,True
58,12,4,True
58,12,4,True
58,12,4,True
58,12,4,True
58,12,4,True
58,12,4,True
58,12,4,True
58,12,4,True
58,12,4,True
58,12,4,True
58,12,4,True
58,12,4,True
58,12,4,True
58,12,4,True
58,12,4,True
58,12,4,True
58,13,4,True
58,13,4,True
58,13,4,True
58,13,4,True
58,13,4,True
58,13,4,True
58,13,4,True
58,13,4,True
58,13,4,True
58,13,4,True
58,13,4,True
58,13,4,True
58,13,4,True
58,13,4,True
58,13,4,True
58,13,4,True
58,13,4,True
58,13,4,True
58,13,4,True
