n,a,rondas,consenso
100,0.100000,75,True
100,0.100000,75,True
100,0.100000,75,True
100,0.100000,75,True
100,0.100000,75,True
100,0.100000,75,True
100,0.100000,75,True
100,0.100000,75,True
100,0.100000,75,True
100,0.100000,75,True
100,0.100000,75,True
100,0.100000,75,True
100,0.100000,75,True
100,0.100000,75,True
100,0.100000,75,True
100,0.100000,75,True
100,0.100000,75,True
100,0.100000,75,True
100,0.100000,75,True
100,0.100000,75,True
100,0.100000,75,True
100,0.100000,75,True
100,0.100000,75,True
100,0.100000,75,True
100,0.100000,75,True
100,0.100000,75,True
100,0.100000,75,True
100,0.100000,75,True
100,0.100000,75,True
100,0.100000,75,True
100,0.100000,75,True
100,0.100000,75,True
100,0.100000,75,True
100,0.100000,75,True
100,0.100000,75,True
100,0.100000,75,True
100,0.100000,75,True
100,0.100000,75,True
100,0.100000,75,True
100,0.100000,75,True
100,0.100000,75,True
100,0.100000,75,True
100,0.100000,75,True
100,0.100000,75,True
100,0.100000,75,True
100,0.100000,75,True
100,0.100000,75,True
100,0.100000,75,True
100,0.100000,75,True
100,0.100000,75,True
100,0.100000,75,True
100,0.100000,75,True
100,0.100000,75,True
100,0.100000,75,True
100,0.100000,75,True
100,0.200000,82,True
100,0.200000,82,True
100,0.200000,82,True
100,0.200000,82,True
100,0.200000,82,True
100,0.200000,82,True
100,0.200000,82,True
100,0.200000,82,True
100,0.200000,82,True
100,0.200000,82,True
100,0.200000,82,True
100,0.200000,82,True
100,0.200000,82,True
100,0.200000,82,True
100,0.200000,82,True
100,0.200000,82,True
100,0.200000,82,True
100,0.200000,82,True
